Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,146.6999969482422,157.07000732421875,142.0399932861328,154.88999938964844,153.6778564453125,250556100
2022-01-01,155.8300018310547,160.32000732421875,129.25999450683594,142.97000122070312,141.8511199951172,269830300
2022-02-01,143.02000427246094,157.5,139.25,148.4600067138672,147.2981719970703,251467500
2022-03-01,147.86000061035156,148.64999389648438,128.3800048828125,137.16000366210938,136.0865936279297,225743700
2022-04-01,137.33999633789062,139.25999450683594,111.36000061035156,111.62999725341797,110.75639343261719,274453400
2022-05-01,111.70999908447266,116.44000244140625,99.47000122070312,110.44000244140625,109.57571411132812,323011400
2022-06-01,112.01000213623047,112.8499984741211,92.01000213623047,94.4000015258789,93.66123962402344,241396000
2022-07-01,94.23999786376953,106.33999633789062,90.2300033569336,106.0999984741211,105.2696762084961,196472800
2022-08-01,104.87000274658203,126.4800033569336,103.86000061035156,112.08000183105469,111.202880859375,294112900
2022-09-01,111.79000091552734,117.48999786376953,94.27999877929688,94.33000183105469,93.59178161621094,209868200
2022-10-01,95.7300033569336,107.43000030517578,90.70999908447266,106.54000091552734,105.70623016357422,180462300
2022-11-01,107.69999694824219,108.83999633789062,86.27999877929688,97.87000274658203,97.10408020019531,427693700
2022-12-01,97.87000274658203,99.69000244140625,84.06999969482422,86.87999725341797,86.20008087158203,301451500
2023-01-01,88.9800033569336,110.58000183105469,87.83000183105469,108.48999786376953,107.6409683227539,228917500
2023-02-01,108.5,118.18000030517578,98.95999908447266,99.61000061035156,98.83045959472656,252908500
2023-03-01,99.19000244140625,102.69999694824219,90.45999908447266,100.12999725341797,99.34638977050781,196622800
2023-04-01,100.20999908447266,102.55999755859375,96.45999908447266,102.5,101.69784545898438,156601900
2023-05-01,102.41000366210938,103.91000366210938,87.01000213623047,87.95999908447266,87.27163696289062,335010000
2023-06-01,88.4000015258789,94.5199966430664,87.11000061035156,89.27999877929688,88.58130645751953,282658500
2023-07-01,89.12000274658203,90.94999694824219,85.16000366210938,88.88999938964844,88.1943588256836,320269700
2023-08-01,89.12000274658203,92.52999877929688,82.45999908447266,83.68000030517578,83.02513122558594,377246600
2023-09-01,82.11000061035156,86.19000244140625,79.22000122070312,81.05000305175781,80.41571807861328,319833300
2023-10-01,80.91999816894531,86.29000091552734,78.7300033569336,81.58999633789062,80.95148468017578,245092900
2023-11-01,81.52999877929688,96.51000213623047,80.18000030517578,92.69000244140625,91.9646224975586,323001300
